property_id,neighborhood,property_type,house_style,year_built,overall_quality,overall_condition,sale_price,lot_area,living_area_sqft,bedrooms,bathrooms,total_rooms,garage_spaces,garage_area,central_air,fireplaces,has_basement,finished_basement_sqft,has_deck,has_porch,has_pool,has_fence,kitchen_quality,exterior_quality,heating_quality,garage_quality,amenity_count,completeness_score,recommended_keywords,quality_label
526301100,NAmes,1Fam 1Story Class 20,1Story,1960,6,5,215000,31770,1656,3,1.0,7,2.0,528.0,1,2,1,639.0,1,1,0,0,TA,TA,Fa,TA,7,100,"NAmes, 1Story, central air, garage, basement, fireplace, deck, porch",Medium Quality
526350040,NAmes,1Fam 1Story Class 20,1Story,1961,5,6,105000,11622,896,2,1.0,5,1.0,730.0,1,0,1,612.0,1,0,0,1,TA,TA,TA,TA,6,100,"NAmes, 1Story, central air, garage, basement, deck",Medium Quality
526351010,NAmes,1Fam 1Story Class 20,1Story,1958,6,6,172000,14267,1329,3,1.5,6,1.0,312.0,1,0,1,923.0,1,1,0,0,Gd,TA,TA,TA,6,100,"NAmes, 1Story, central air, garage, basement, deck, porch",Medium Quality
526353030,NAmes,1Fam 1Story Class 20,1Story,1968,7,5,244000,11160,2110,3,2.5,8,2.0,522.0,1,2,1,1065.0,0,0,0,0,Ex,Gd,Ex,TA,5,100,"NAmes, 1Story, central air, garage, basement, fireplace",High Quality
527105010,Gilbert,1Fam 2Story Class 60,2Story,1997,5,5,189900,13830,1629,3,2.5,6,2.0,482.0,1,1,1,791.0,1,1,0,1,TA,TA,Gd,TA,8,100,"Gilbert, 2Story, central air, garage, basement, fireplace, deck, porch",Medium Quality
527105030,Gilbert,1Fam 2Story Class 60,2Story,1998,6,6,195500,9978,1604,3,2.5,7,2.0,470.0,1,1,1,602.0,1,1,0,0,Gd,TA,Ex,TA,7,100,"Gilbert, 2Story, central air, garage, basement, fireplace, deck, porch",Medium Quality
527127150,StoneBr,TwnhsE 1Story Class 120,1Story,2001,8,5,213500,4920,1338,2,2.0,6,2.0,582.0,1,0,1,616.0,0,0,0,0,Gd,Gd,Ex,TA,4,100,"StoneBr, 1Story, central air, garage, basement",High Quality
527145080,StoneBr,TwnhsE 1Story Class 120,1Story,1992,8,5,191500,5005,1280,2,2.0,5,2.0,506.0,1,0,1,263.0,0,1,0,0,Gd,Gd,Ex,TA,5,100,"StoneBr, 1Story, central air, garage, basement, , porch",High Quality
527146030,StoneBr,TwnhsE 1Story Class 120,1Story,1995,8,5,236500,5389,1616,2,2.0,5,2.0,608.0,1,1,1,1180.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"StoneBr, 1Story, central air, garage, basement, fireplace, deck, porch",High Quality
527162130,Gilbert,1Fam 2Story Class 60,2Story,1999,7,5,189000,7500,1804,3,2.5,7,2.0,442.0,1,1,1,0.0,1,1,0,0,Gd,TA,Gd,TA,6,100,"Gilbert, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
527163010,Gilbert,1Fam 2Story Class 60,2Story,1993,6,5,175900,10000,1655,3,2.5,7,2.0,440.0,1,1,1,0.0,1,1,0,0,TA,TA,Gd,TA,6,100,"Gilbert, 2Story, central air, garage, basement, fireplace, deck, porch",Medium Quality
527165230,Gilbert,1Fam 1Story Class 20,1Story,1992,6,7,185000,7980,1187,3,2.0,6,2.0,420.0,1,0,1,935.0,1,1,0,1,TA,TA,Ex,TA,7,100,"Gilbert, 1Story, central air, garage, basement, deck, porch",Medium Quality
527166040,Gilbert,1Fam 2Story Class 60,2Story,1998,6,5,180400,8402,1465,3,2.5,7,2.0,393.0,1,1,1,0.0,0,1,0,0,TA,TA,Gd,TA,5,100,"Gilbert, 2Story, central air, garage, basement, fireplace, porch",Medium Quality
527180040,Gilbert,1Fam 1Story Class 20,1Story,1990,7,5,171500,10176,1341,2,1.5,5,2.0,506.0,1,1,1,637.0,1,0,0,0,Gd,TA,Gd,TA,6,100,"Gilbert, 1Story, central air, garage, basement, fireplace, deck",High Quality
527182190,StoneBr,TwnhsE 1Story Class 120,1Story,1985,8,5,212000,6820,1502,1,1.5,4,2.0,528.0,1,0,1,1488.0,0,1,0,0,Gd,Gd,TA,TA,5,100,"StoneBr, 1Story, central air, garage, basement, , porch",High Quality
527216070,StoneBr,1Fam 2Story Class 60,2Story,2003,8,5,538000,53504,3279,4,3.5,12,3.0,841.0,1,1,1,1416.0,1,1,0,0,Ex,Ex,Ex,TA,7,100,"StoneBr, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
527225035,Gilbert,1Fam 1.5Fin Class 50,1.5Fin,1988,8,7,164000,12134,1752,4,2.0,8,2.0,492.0,1,0,1,427.0,1,1,0,0,TA,Gd,Gd,TA,6,100,"Gilbert, 1.5Fin, central air, garage, basement, deck, porch",High Quality
